ID_Offre,Titre_Poste,Secteur,Entreprise,Ville,Region,Type_Contrat,Experience_Requise,Niveau_Etudes,Modalite_Travail,Salaire_Mensuel_DH,Langues_Requises,Competences_Cles,Date_Publication,Delai_Recrutement_Jours
OFF-0015,data-scientist,IT & Tech,ONCF,Casablanca,Casablanca-Settat,Cdi,2-5 ans,Bac+3,teletravail,15300,Français; Anglais; Arabe,MONGODB; TYPESCRIPT,2025-02-28,14
OFF-0016,Ingénieur réseau,IT & Tech,Ernst & Young Maroc,Casablanca-Settat,,contrat CDI,2/5 ans,,Hybride,12600,Anglais,JavaScript; TypeScript; Power BI,2025-01-04,13
OFF-0017,Audit Financier,Finance & RH,OCP GROUP,Kenitra,Rabat-Salé-Kénitra,Cdi,0-2 ans,Bac+5 / Master,Hybride,9600-11520,Anglais,"IFRS, Droit du travail, Consolidation",2025-02-17,18
OFF-0018,Community manager,Commerce,Deloitte Maroc,Oujda,Oriental,contrat CDI,Senior,Bac+5 / Master,Hybride,8700,Français; Anglais; Arabe,"SEO, Google Ads, Email Marketing",2024-10-22,19
OFF-0019,Ingénieur civil,BTP,Attijariwafa Bank,Marrakech,,Cdi,2-5 ans,Bac+5 / Master,Sur site,9400,Français; Arabe,MS Project; Revit,2024-12-10,999
OFF-0020,Guide,Tourisme,Peugeot Maroc,casablanca,Casablanca-Settat,CDD,Junior,Bac+5 / Master,En présentiel,4000,Français; Anglais; Arabe,Langues étrangères; Gestion réservations,2024-12-11,40
OFF-0021,PRODUCT MANAGER,IT & Tech,UM6P,casablanca,Casablanca-Settat,CDI ,2/5 ans,Sans diplôme requis,En présentiel,15600,Français; Arabe,"TypeScript, React, AWS, Kubernetes, Git",2024-10-30,41
OFF-0022,Marketing Digital,Commerce,Orange Maroc,Tanjah,,Stagiaire,2/5 ans,Bac+3,PRÉSENTIEL,4184,Français,Salesforce; Négociation; Excel; Email Marketing,2024-05-05,34
OFF-0023,pharmacien,Santé,atlantic digital,FÈS,Fès-Meknès,CDI ,2 à 5 ans,Bac+2,En présentiel,14100,Français; Anglais,Soins infirmiers / Pharmacologie / Éthique médicale,2024-10-21,7
OFF-0024,UX Designer,IT & Tech,Ernst & Young Maroc,MEKNÈS,Fès-Meknès,Stage,confirmé,Bac+3,Hybride,2630,Français; Arabe,Git; Agile/Scrum; TypeScript; MongoDB,2024-12-20,41
OFF-0025,INGÉNIEUR PRODUCTION,Industrie,DataVision Maroc,marrakech,Marrakech-Safi,CDD,0/2 ans,Bac+5 / Master,présentiel,6k,Français; Anglais,LEAN MANUFACTURING; ISO 9001; PLC/SCADA; AMDEC; AUTOCAD,2024-07-14,
OFF-0026,Product Owner,IT & Tech,SII Group,tanger,Tanger-Tétouan-Al Hoceïma,CDI ,2-5 ans,Bac+5 / Master,presentiel,13200,Français; Anglais,"Node.js, JavaScript, Git",01/01/1900,22
OFF-0027,devops engineer,IT & Tech,Lydec,Casablanca,Casablanca-Settat,cdi,junior,Sans diplôme requis,sur site,10700,Français; Anglais,"REST API, Power BI, Agile/Scrum, Kubernetes",2024-10-14,36
OFF-0028,Dat Engineer,IT & Tech,Alten Maroc,meknes,Fès-Meknès,STAGE,2-5 ans,Bac+2,En présentiel,3017,Français; Anglais; Arabe,SQL / REST API / AWS / Python,05 June 2024,21
OFF-0029,admin sys,,Atlantic Digital,CASABLANCA,Casablanca-Settat,Free-lance,Débutant,Bac+3,PRÉSENTIEL,9600,Français; Anglais,Azure; Python; REST API; Agile/Scrum; Docker,2024-09-05,37
OFF-0030,BACKEND DEVELOPER,IT & Tech,Label'Vie,Caza,Casablanca-Settat,Alternance,débutant,Bac+5 / Master,TÉLÉTRAVAIL,4264,Français; Arabe,Java; Kubernetes,01/12/2024,-1
OFF-0031,commercial b2b,Commerce,Managem,Agadir,Souss-Massa,CONTRAT CDI,Junior,Bac+3,HYBRIDE,6k,Français; Anglais; Arabe,"Google Ads, Excel, CRM, Email Marketing",2024-08-04,37
OFF-0032,chargé marketing,Commerce,Lafarge Holcim,RABAT,Rabat-Salé-Kénitra,Cdi,2-5ans,Bac+5 / Master,PRÉSENTIEL,9100,Anglais,,2024-06-09,21
OFF-0033,medecin generaliste,SANTÉ,inwi,MARRAKECH,Marrakech-Safi,CONTRAT CDI,2-5ans,Bac+5 / Master,Présentiel,19900,,SOINS INFIRMIERS; ÉTHIQUE MÉDICALE; DIAGNOSTIC; PHARMACOLOGIE,2024-09-07,18
OFF-0034,dev frontend,IT & Tech,CGI Maroc,Caza,Casablanca-Settat,cdd,2-5 ans,Bac+3,sur site,8900,Français; Anglais; Arabe,JavaScript / TypeScript / REST API / Kubernetes / React,2024-05-01,18
OFF-0035,RÉCEPTIONNISTE,Tourisme,SII Group,Marrakch,Marrakech-Safi,C.D.I,Senior,Bac+5 / Master,Hybrid,7100-8520,Anglais,Pack Office; Gestion réservations; Accueil client,09/05/2024,11
OFF-0036,Responsable RH,Finance & RH,Carrefour Maroc,rabat ,Rabat-Salé-Kénitra,contrat CDD,5/8 ans,Bac+5 / Master,PRÉSENTIEL,10300,Anglais,SAGE; Droit du travail; Paie; Consolidation; IFRS,2024-07-21,39
OFF-0037,BI Analyst,IT & Tech,RAM,Casablanca,Casablanca-Settat,Cdd,Expérimenté,BAC+5 / MASTER,présentiel,14000,Français; Anglais; Arabe,Agile/Scrum; Azure; Python; Linux; SQL,11-18-2024,13
OFF-0038,CDG,Finance & RH,Deloitte Maroc,Caza,Casablanca-Settat,cdi,senior,Bac+2,TÉLÉTRAVAIL,15700,Français; Arabe,SAGE; Excel avancé; Audit; Droit du travail; Paie,2024-03-30,999
OFF-0039,backend dev,IT & Tech,Marjane,Fès,Fès-Meknès,FREELANCE,5 à 8 ans,Bac+2,Remote partiel,20800,Français; Anglais; Arabe,Java; JavaScript; SQL; React; MongoDB,2024-05-12,37
OFF-0040,Data Sientist,,RAM,rabat ,Rabat-Salé-Kénitra,freelancer,2-5ans,Bac+5 / Master,Remote,19300,Français; Anglais,"TensorFlow, Kubernetes, Docker",20/02/2025,43
OFF-0041,Comptable Général,Finance & RH,CIH Bank,rabat ,Rabat-Salé-Kénitra,CONTRAT CDI,2-5ans,Bac+3,presentiel,6500,Français; Anglais; Arabe,IFRS; SAGE; SAP; Excel avancé,2024-07-27,9
OFF-0042,Infirmier/ère,Santé,PwC Maroc,Tanjah,Tanger-Tétouan-Al Hoceïma,cdd,2 à 5 ans,Bac+3,télétravail,7800 DH,Français; Anglais; Arabe,Soins infirmiers - Diagnostic - Éthique médicale,01/01/1900,21
OFF-0043,Infirmier/ère,Santé,Orange Maroc,Agadir,,contrat CDI,2/5 ans,,présentiel,7400,Français,Diagnostic; Éthique médicale; Soins infirmiers,2024-09-07,11
OFF-0044,comptable,Finance & RH,OCP Group,TANGER,Tanger-Tétouan-Al Hoceïma,CDI,0 à 2 ans,Bac+5 / Master,sur site,5200,Anglais,Droit du travail; IFRS,2024-04-22,39
OFF-0045,PHARMACIEN,Santé,PwC Maroc,Tanger,,CDI ,5-8 ans,Bac+5 / Master,télétravail,16900,Français; Anglais,Diagnostic; Éthique médicale; Pharmacologie; Soins infirmiers,2024-05-30,45
OFF-0046,RESPONSABLE COMMERCIAL,Commerce,Atlantic Digital,Casablanca-Settat,Casablanca-Settat,cdd,8 ans et plus,Bac+5 / Master,présentiel,19600,Français,Négociation; Email Marketing; Salesforce; CRM,2024-06-07,33
OFF-0047,Developpeur FullStack,IT & Tech,Vivo Energy,marrakech,Marrakech-Safi,cdi,Senior,Bac+2,Remote partiel,15100,Français; Anglais; Arabe,Azure / Docker / Java,2024-10-20,23
OFF-0048,tech maintenance,industrie,Renault Maroc,Fes,,STAGE,2 à 5 ans,Bac+3,TÉLÉTRAVAIL,4933,Français,AUTOCAD; PLC/SCADA; AMDEC,,38
OFF-0049,Réceptionniste hôtel,Tourisme,TechMa Solutions,Casablanca,Casablanca-Settat,CDI,5-8 ans,Bac+5 / Master,Sur site,6500,Français; Anglais; Arabe,Accueil client; Gestion réservations,2024-07-30,8
OFF-0050,RESPONSABLE RH,Finance & RH,Alten Maroc,rabat ,Rabat-Salé-Kénitra,Freelance,Senior,,Sur site,17100,Français; Arabe,Droit du travail; Audit; Paie; SAGE; SAP,2024-09-21,37
OFF-0051,Chef de Produit,,Capgemini Maroc,Rabat,,Stage de fin d'études,0/2 ans,,Présentiel,3095,Français; Arabe,Python; TypeScript; SQL; Azure; REST API,2024-05-03,20
OFF-0052,Data Engneer,IT & Tech,Orange Maroc,RABAT,,CONTRAT CDI,0 à 2 ans,Bac+8 / Doctorat,Remote partiel,9900,Français; Anglais; Arabe,Power BI / Kubernetes,2024-06-01,-3
OFF-0053,analyste financier,Finance & RH,Label'Vie,Agadir,,CONTRAT CDI,Confirmé,Bac+5 / Master,presentiel,10300,,Droit du travail; Consolidation; Audit; Excel avancé,08/09/2024,15
OFF-0054,Pharmacien d'officine,Santé,RAM,MARRAKECH,Marrakech-Safi,CDI,junior,Bac+5 / Master,sur site,9500,Français; Anglais,Éthique médicale; Pharmacologie; Soins infirmiers,2024-07-03,999
OFF-0055,Technicien maintenance,Industrie,Peugeot Maroc,Caza,Casablanca-Settat,freelance,5-8 ans,Bac+3,Remote partiel,10500 ,Français; Anglais,Lean Manufacturing; AMDEC; ISO 9001; AutoCAD; PLC/SCADA,2024-04-18,19
OFF-0056,ux-ui designer,IT & Tech,Vivo Energy,Marrakech,Marrakech-Safi,CDD ,2 à 5 ans,,teletravail,8600-10320,Français,"AWS, Java, Agile/Scrum, MongoDB, SQL",2025-03-01,35
OFF-0057,Ingénieur ML,IT & Tech,cih bank,casablanca,Casablanca-Settat,Cdi,2-5ans,BAC+3,Hybrid,17000,Français; Anglais; Arabe,MongoDB - Python - SQL,2024-08-24,10
OFF-0057,Ingénieur ML,IT & Tech,cih bank,casablanca,Casablanca-Settat,Cdi,2-5ans,BAC+3,Hybrid,17000,Français; Anglais; Arabe,MongoDB - Python - SQL,2024-08-24,10
OFF-0059,CDG,Finance & RH,deloitte maroc,MARRAKECH,Marrakech-Safi,Free-lance,Confirmé,Bac+3,Sur site,16k,Anglais,"Droit du travail, Paie, SAP, SAGE",2024-08-25,18
OFF-0060,MARKETING DIGITAL,Commerce,SII GROUP,Casa,Casablanca-Settat,Freelance,8+,Sans diplôme requis,sur site,21700,Français; Anglais,EXCEL; SALESFORCE; EMAIL MARKETING; CRM,05-23-2024,10
OFF-0060,MARKETING DIGITAL,Commerce,SII GROUP,Casa,Casablanca-Settat,Freelance,8+,Sans diplôme requis,sur site,21700,Français; Anglais,EXCEL; SALESFORCE; EMAIL MARKETING; CRM,05-23-2024,10
OFF-0062,Dev Backend,IT & Tech,Lafarge Holcim,Caza,Casablanca-Settat,freelance,2/5 ans,Bac+5 / Master,présentiel,16500,Anglais,AWS; Java; TensorFlow,2024-03-14,14
OFF-0063,CHEF DE PROJET IT,IT & Tech,TechMa Solutions,Caza,Casablanca-Settat,CDI ,2/5 ans,Bac+3,Work from home,16400,Français,Linux; Agile/Scrum; Node.js; Docker; MongoDB,2025-01-27,13
OFF-0064,Technicien maintenance,Industrie,ACCENTURE MAROC,TÉTOUAN,Tanger-Tétouan-Al Hoceïma,CONTRAT CDI,Senior,Bac+3,En présentiel,9100,Français; Anglais,PLC/SCADA; Lean Manufacturing; SolidWorks; AutoCAD,2024-07-09,32
OFF-0065,Ingénieur de production,Industrie,HPS,rabat ,Rabat-Salé-Kénitra,Cdd,5/8 ans,Bac+5 / Master,Présentiel,11500,Français; Anglais; Arabe,Lean Manufacturing; PLC/SCADA; SolidWorks; AutoCAD,2024-12-15,11
OFF-0066,admin sys,IT & Tech,HPS,MARRAKECH,,Cdi,Expert,Bac+8 / Doctorat,Full remote,15500,,Azure; Git,2024-03-10,40
OFF-0067,Cyber Sécurité Analyst,IT & Tech,SII Group,Rabat-Salé,Rabat-Salé-Kénitra,Indépendant,0/2 ans,Sans diplôme requis,sur site,12900,Français; Anglais; Arabe,Java; Linux; Azure,2024-05-14,40
OFF-0068,Machine Learning Engineer,IT & Tech,Lydec,CASABLANCA,Casablanca-Settat,freelance,5-8 ans,Bac+5 / Master,Remote,26700,Français,"Git, React, AWS",2024-07-11,9
OFF-0069,gestionnaire de paie,Finance & RH,Attijariwafa Bank,Marrakesh,Marrakech-Safi,contrat CDI,2 à 5 ans,Bac+3,sur site,8500,Anglais,IFRS; SAP; Droit du travail,2024-07-29,41
OFF-0070,Data scientist,IT & Tech,Accenture Maroc,Tanger-Med,,CONTRAT CDI,0-2ans,Bac+2,En présentiel,9900,Français; Anglais; Arabe,SQL; REST API; Agile/Scrum; Power BI,2024-08-18,23
OFF-0071,TECHNICIEN MAINTENANCE,Industrie,Lafarge Holcim,tanger,Tanger-Tétouan-Al Hoceïma,stage,senior,BAC+5 / MASTER,Télétravail,3918,"Français, Anglais, Arabe",AutoCAD; AMDEC; ISO 9001; Lean Manufacturing,01 February 2025,7
OFF-0072,HR Manager,Finance & RH,DataVision Maroc,CASABLANCA,Casablanca-Settat,cdi,2-5 ans,Bac+5 / Master,Mixte,8900-10680,"Français, Anglais, Arabe",Consolidation; Excel avancé; SAGE; IFRS; SAP,2024-06-28,13
OFF-0073,Analyste Finance,Finance & RH,Maroc Telecom,tanger,Tanger-Tétouan-Al Hoceïma,Indépendant,Senior,Bac+5 / Master,hybride,22100,Français; Anglais,"Excel avancé, Droit du travail, Paie, SAP",2024-06-23,10
OFF-0074,BI Analyst,,LAFARGE HOLCIM,Tanjah,Tanger-Tétouan-Al Hoceïma,CDI,2-5ans,Bac+2,En présentiel,12300 DH,Français,Power BI; Git; JavaScript,2024-10-22,33
OFF-0075,DevOps,IT & Tech,Peugeot Maroc,Tanger,Tanger-Tétouan-Al Hoceïma,Free-lance,Senior,Bac+5 / Master,Sur site,26500,Français,JavaScript / Linux / TypeScript / REST API / Python,,-5
OFF-0076,receptionniste hotel,Tourisme,Total Maroc,TANGER,Tanger-Tétouan-Al Hoceïma,CDI,Confirmé,BAC+5 / MASTER,PRÉSENTIEL,4700,Anglais,"Pack Office, Accueil client, Gestion réservations, Langues étrangères",2024-04-05,38
OFF-0077,medecin generaliste,,Akdital,Marrakesh,,Cdi,Confirmé,Bac+5 / Master,présentiel,18700,Français,Diagnostic; Pharmacologie; Éthique médicale; Soins infirmiers,2024-11-14,7
OFF-0078,tech maintenance,Industrie,UM6P,Caza,Casablanca-Settat,Indépendant,confirmé,Bac+5 / Master,Hybrid,10600,,AutoCAD; PLC/SCADA; ISO 9001; AMDEC; Lean Manufacturing,2025-01-09,43
OFF-0079,Gestionnaire paie,Finance & RH,Label'Vie,Marrakech,Marrakech-Safi,Stage PFE,2/5 ans,Sans diplôme requis,En présentiel,4730,Français / Anglais,Droit du travail; Consolidation; Audit,2024-06-05,42
OFF-0080,comptable,Finance & RH,Atlantic Digital,Oujda-Angad,Oriental,cdd,2-5ans,Bac+5 / Master,Remote,5700,Français; Anglais,Consolidation; Excel avancé; SAGE,2024-05-02,21
OFF-0081,RESPONSABLE RH,Finance & RH,Lydec,TANGER,Tanger-Tétouan-Al Hoceïma,CDI,0-2ans,Bac+5 / Master,Hybrid,,Français,"Paie, SAGE, Excel avancé, IFRS",2024-09-15,27
OFF-0082,cyber analyst,IT & Tech,Vivo Energy,Agadir-Ida,Souss-Massa,Cdi,0-2ans,Bac+3,TÉLÉTRAVAIL,11000,Français,"Linux, TensorFlow, SQL, Agile/Scrum",2024-05-04,39 jours
OFF-0083,Developpeur FullStack,IT & Tech,kpmg maroc,Tanger-Med,Tanger-Tétouan-Al Hoceïma,cdi,Expert,Bac+3,hybride,19600,Français,React; Node.js,2025-01-01,24
OFF-0084,backend developer,IT & Tech,KPMG Maroc,Casa,Casablanca-Settat,CDI ,5 à 8 ans,Bac+5 / Master,Remote partiel,14900,Français; Anglais; Arabe,Kubernetes; Git,2024-03-10,-2
OFF-0085,Responsable commercial,Commerce,HPS,rabat,Rabat-Salé-Kénitra,Freelance,2 à 5 ans,Sans diplôme requis,Présentiel,13800-16560,Français; Arabe,"Analyse de marché, Salesforce, Négociation, CRM",2024-07-29,16 jours
OFF-0086,Guide,Tourisme,MARJANE,Tanger,Tanger-Tétouan-Al Hoceïma,Stage de fin d'études,2-5ans,Sans diplôme requis,Présentiel,,Français,"Gestion réservations, Langues étrangères, Accueil client, Pack Office",2024-06-10,25
OFF-0087,guide,Tourisme,Lydec,Rabat-Salé,Rabat-Salé-Kénitra,Free-lance,5-8 ans,Bac+5 / Master,Full remote,8700,Anglais,Langues étrangères; Pack Office; Gestion réservations; Accueil client,2025-01-26,11
OFF-0088,Ingénieur ML,IT & Tech,Accenture Maroc,Tanger,Tanger-Tétouan-Al Hoceïma,C.D.I,Junior,Bac+2,Hybrid,13400,Français; Arabe,"Linux, Java, SQL",2024-04-17,9
OFF-0089,RESPONSABLE COMMERCIAL,Commerce,Total Maroc,Casa,Casablanca-Settat,C.D.I,2-5ans,Bac+5 / Master,teletravail,12500,Français; Anglais,Négociation; Email Marketing; SEO; CRM,01/01/1900,36
OFF-0090,Commercial,Commerce,Marjane,agadir,Souss-Massa,contrat CDI,5 à 8 ans,Bac+3,Sur site,,Français; Arabe,SEO; Google Ads,,15
OFF-0091,DevOps,IT & Tech,ONCF,Casablanca,,CONTRAT CDI,0/2 ans,Sans diplôme requis,En présentiel,10300,Français; Anglais; Arabe,Linux; Kubernetes,2024-11-17,14 jours
OFF-0092,Resp. Commercial,Commerce,Alten Maroc,CASABLANCA,,CONTRAT CDI,2 à 5 ans,Bac+5 / Master,PRÉSENTIEL,11700,Français,Excel - Analyse de marché - Google Ads - SEO,2024-10-27,29
OFF-0093,Responsable qualité,Industrie,Alten Maroc,Caza,Casablanca-Settat,cdi,0-2ans,Bac+5 / Master,Mixte,6700,Français; Anglais; Arabe,PLC/SCADA; SolidWorks; ISO 9001; AutoCAD; AMDEC,2024-12-21,37
OFF-0094,Project Manager IT,IT & Tech,Alten Maroc,TANGER,Tanger-Tétouan-Al Hoceïma,contrat CDI,0 à 2 ans,Bac+5 / Master,hybride,11000,Français; Anglais; Arabe,Linux - Git - Power BI - TypeScript,01/01/1900,10
OFF-0095,INGÉNIEUR PRODUCTION,Industrie,ONCF,Agadir,Souss-Massa,cdd,0 à 2 ans,Bac+5 / Master,En présentiel,5800 DH,Français; Arabe,,2024-05-28,44
OFF-0096,CONTROLEUR DE GESTION,Finance & RH,Accenture Maroc,RABAT,,CDI,2/5 ans,Bac+5 / Master,Hybrid,10900 ,Français; Arabe,"IFRS, Audit",2024-10-27,7
OFF-0097,Frontend Dev,,KPMG Maroc,Meknès,Fès-Meknès,Stage PFE,0 à 2 ans,Bac+5 / Master,Présentiel,4308,Anglais,Agile/Scrum; Power BI; Kubernetes; JavaScript,2024-04-30,7
OFF-0098,ing production,Industrie,KPMG Maroc,casablanca,Casablanca-Settat,CDI ,0-2 ans,Bac+3,Hybrid,7700,Français; Anglais,PLC/SCADA; AutoCAD; SolidWorks,2024-07-12,17
OFF-0099,Auditeur,Finance & RH,Peugeot Maroc,rabat ,Rabat-Salé-Kénitra,cdd,8+,BAC+5 / MASTER,Sur site,17100,Français; Anglais; Arabe,CONSOLIDATION; SAGE,2025-02-06,16
OFF-0100,ML Ingénieur,IT & Tech,PwC Maroc,Marrakech,,contrat CDD,5/8 ans,Bac+3,En présentiel,17900,Anglais,Power BI; Azure; Agile/Scrum; Kubernetes; JavaScript,2024-12-30,43
OFF-0101,PM,IT & Tech,Deloitte Maroc,rabat ,Rabat-Salé-Kénitra,CDD ,junior,Bac+5 / Master,HYBRIDE,,Anglais,Node.js; TypeScript; Agile/Scrum,2024-11-30,37
OFF-0102,développeur full-stack,IT & Tech,DataVision Maroc,TANGER,Tanger-Tétouan-Al Hoceïma,CDI ,2 à 5 ans,Bac+3,Remote partiel,11800,Anglais,Git; Azure; React; Docker; AWS,2024-06-21,26
OFF-0103,analyste financier,Finance & RH,Attijariwafa Bank,rabat ,Rabat-Salé-Kénitra,contrat CDD,0 à 2 ans,Bac+3,PRÉSENTIEL,8100,Français,,2024-09-03,29
OFF-0104,Responsable qualité,Industrie,Deloitte Maroc,marrakech,Marrakech-Safi,Freelance,Junior,Bac+8 / Doctorat,sur site,11200,Anglais,PLC/SCADA / ISO 9001,2024-05-17,23
OFF-0105,MARKETING DIGITAL,commerce,Ernst & Young Maroc,RABAT,Rabat-Salé-Kénitra,FREELANCE,2-5 ans,Bac+5 / Master,Présentiel,10900,Français; Arabe,"Excel, Salesforce, SEO, Google Ads",01-27-2025,35
OFF-0105,MARKETING DIGITAL,commerce,Ernst & Young Maroc,RABAT,Rabat-Salé-Kénitra,FREELANCE,2-5 ans,Bac+5 / Master,Présentiel,10900,Français; Arabe,"Excel, Salesforce, SEO, Google Ads",01-27-2025,35
OFF-0107,Génie Civil,BTP,Lafarge Holcim,casablanca,,STAGE,2-5ans,Sans diplôme requis,télétravail,3075,Français,Béton armé; AutoCAD; Revit,2024-05-16,39
OFF-0108,RESPONSABLE RH,Finance & RH,Université Hassan II,TANGER,Tanger-Tétouan-Al Hoceïma,freelance,confirmé,Sans diplôme requis,Télétravail,12600,Français; Anglais,SAP / Droit du travail / Excel avancé,2024-10-26,18
OFF-0109,Machine Learning Engineer,IT & Tech,Inwi,Rabat-Salé,Rabat-Salé-Kénitra,CDI ,débutant,Bac+2,Remote,13800,Français; Anglais,Java; Node.js; TypeScript; AWS,2024-12-10,38
OFF-0110,Marketing Digital,Commerce,Managem,Kénitra,,C.D.I,8+,Bac+3,Sur site,16300,,NÉGOCIATION; ANALYSE DE MARCHÉ,01/01/1900,22
OFF-0111,FRONTEND DEVELOPER,IT & Tech,KPMG Maroc,Marrakesh,Marrakech-Safi,C.D.I,Confirmé,BAC+3,presentiel,10200,Français; Arabe,TypeScript; Azure; Node.js; MongoDB; Git,2024-03-31,38
OFF-0112,comptable junior,Finance & RH,HPS,Tanger-Med,Tanger-Tétouan-Al Hoceïma,C.D.D,5 à 8 ans,Bac+3,télétravail,8000 DH,Français,SAGE; Excel avancé,2024-12-27,12
OFF-0113,Cybersécurité,,Deloitte Maroc,rabat,,cdd,2-5ans,Bac+5 / Master,PRÉSENTIEL,12k,Français; Anglais; Arabe,,2025-02-10,35
OFF-0114,RÉCEPTIONNISTE,Tourisme,KPMG Maroc,Tanjah,Tanger-Tétouan-Al Hoceïma,Freelance,5/8 ans,Bac+3,PRÉSENTIEL,9400,Français; Anglais,Langues étrangères; Pack Office; Gestion réservations; Accueil client,2024-04-09,29
OFF-0115,ML Ingénieur,IT & Tech,Label'Vie,TANGER,Tanger-Tétouan-Al Hoceïma,Free-lance,confirmé,Bac+2,En présentiel,22300,Français; Anglais; Arabe,React; Node.js; MongoDB; SQL; Java,2024-06-17,27
OFF-0116,chargé marketing,Commerce,UM6P,Casa,Casablanca-Settat,cdi,0-2 ans,Bac+5 / Master,PRÉSENTIEL,7k,Français; Anglais,Email Marketing; Salesforce; Négociation; SEO,2024-07-10,11
OFF-0117,Ingénieur de production,Industrie,Orange Maroc,marrakech,Marrakech-Safi,cdd,5-8 ans,Bac+8 / Doctorat,PRÉSENTIEL,12100,Français; Anglais; Arabe,SolidWorks; AutoCAD; Lean Manufacturing; PLC/SCADA,02-19-2025,23
OFF-0118,BI Analyst,IT & Tech,HPS,CASABLANCA,,C.D.I,2-5 ans,Bac+5 / Master,PRÉSENTIEL,10500,Français,Agile/Scrum; Node.js; JavaScript,2024-11-14,21
OFF-0119,Guide,Tourisme,CGI Maroc,TANGER,Tanger-Tétouan-Al Hoceïma,Cdi,2-5 ans,Bac+5 / Master,Sur site,4k,Français; Anglais; Arabe,Accueil client; Pack Office,2024-11-06,25 jours
OFF-0120,commercial b 2 b,Commerce,CGI Maroc,Rabat,Rabat-Salé-Kénitra,freelance,confirmé,Bac+3,En présentiel,12500,Français; Anglais,Google Ads; Email Marketing; SEO; CRM; Salesforce,2024-07-31,19
OFF-0121,CONDUCTEUR TRAVAUX,BTP,Attijariwafa Bank,casablanca,Casablanca-Settat,contrat CDD,5-8 ans,Bac+3,Hybrid,11800,Français; Anglais; Arabe,MS Project; AutoCAD; Béton armé; Gestion de chantier; Revit,2024-04-08,25
OFF-0122,ML Ingénieur,IT & Tech,Capgemini Maroc,CASABLANCA,Casablanca-Settat,contrat CDI,2/5 ans,Sans diplôme requis,presentiel,14900,Français; Anglais; Arabe,TypeScript; AWS; Node.js; REST API,2024-07-09,
OFF-0123,Marketing Digital,Commerce,PEUGEOT MAROC,FÈS,Fès-Meknès,Free-lance,Senior,Bac+5 / Master,Hybrid,17800 ,Français; Anglais; Arabe,Email Marketing; Google Ads; Négociation; CRM,2024-03-01,35
